room,wall_A_offset,wall_B_offset
01W1,3.725883,3.445494
10W0,0.0,0.0
10W1,3.742042,3.344966
11B1,2.651707,2.606159
01B1,3.382366,2.533921
10R0,0.0,0.0
00W0,0.0,0.0
00R0,0.0,0.0
00B0,0.0,0.0
01B0,0.0,0.0
01R1,3.804117,3.098178
11W1,3.390057,3.249794
