room,time
01B0,2.716592
11W1,9.640764
11B1,19.211079
10W0,27.655205
11W0,33.507248
10B1,40.496578
10W1,49.783947
11B0,59.735004
10B1,66.288544
00W1,74.909821
11R0,84.25885
00W0,91.737076
