room,time
01B0,3.158841
00B1,10.136298
01W0,18.984526
10W0,25.567118
10B1,31.886112
01W1,39.937115
11R0,49.883205
11B1,56.312309
11W1,65.584198
00W1,74.12178
10W1,82.471581
11B0,90.291252
