room,wall_A_offset,wall_B_offset
10W0,0.0,0.0
00B1,3.922086,2.556856
01B0,0.0,0.0
10W1,3.163823,3.199988
11R0,0.0,0.0
11R1,2.951415,3.920301
00W1,2.852626,2.874142
00R1,3.193075,3.749596
01W0,0.0,0.0
11W1,3.480239,3.457167
00B0,0.0,0.0
01R1,2.998337,3.859142
