time,x,y,z,pitch,yaw
0.270513,-1495.0,0.0,22.149887,0.0,0.0
0.511296,-1495.0,0.0,22.149887,0.0,0.0
0.761135,-1495.0,0.0,22.149887,0.174983,0.0
1.015837,-1464.927124,2.360326,22.149887,350.528381,5.100593
1.259767,-1337.776978,11.700762,22.149887,348.502106,359.842957
1.510858,-1328.630371,12.136828,22.149887,349.262512,358.741028
1.764471,-1322.822998,12.009193,22.149887,349.262512,358.741028
2.01052,-1257.201294,10.567013,22.149887,349.262512,358.741028
2.258338,-1256.923584,10.560508,22.149887,351.776276,358.658203
2.515567,-1230.095825,9.099759,22.14991,351.776276,358.658203
2.76346,-1230.095825,8.395819,22.14991,352.863434,358.833191
3.012588,-1230.095825,8.395819,22.14991,352.927155,358.658203
3.265624,-1207.674072,10.375885,22.14991,352.927155,358.483215
3.516168,-1175.02832,2.288512,22.14991,1.043029,322.219452
3.765543,-1096.964233,-9.560386,22.150002,8.275914,293.881592
4.014601,-1026.854492,-121.044647,22.150002,17.458208,291.827393
4.261613,-970.724976,-257.498718,22.150002,13.094046,18.695883
4.519286,-984.920959,-404.532349,22.150002,8.214122,60.328228
4.758787,-1018.27533,-467.615723,22.150002,8.097715,62.764687
5.019583,-1043.390625,-574.825073,22.150002,7.352511,9.246659
5.259075,-966.431885,-675.073608,22.150002,7.187953,5.294302
5.508867,-817.130066,-678.423584,22.150002,8.125285,31.744061
5.765195,-664.151611,-684.961914,22.150002,7.211008,58.502827
6.019161,-517.469543,-645.290344,22.150002,5.88864,71.619453
6.2602,-395.711029,-571.137085,22.150002,4.719132,75.952782
6.515251,-342.500732,-428.313812,22.150002,4.544149,75.952782
6.764697,-297.878662,-285.80249,22.150017,4.544149,75.952782
7.014828,-299.426025,-139.079895,22.150017,5.47304,52.716393
7.268779,-301.30304,11.982868,22.150017,4.328172,27.066454
7.509614,-252.993805,147.591812,22.150017,3.674142,6.319994
7.764486,-146.027863,254.697662,22.150017,6.756116,313.483948
8.009755,-25.99321,338.748047,22.150017,7.331641,277.310577
8.25911,81.653305,442.609283,22.150017,6.216877,266.278198
8.509195,204.974442,522.599731,22.150017,6.216877,269.117615
8.758724,331.459564,477.292053,22.150017,6.041894,281.18988
9.011662,322.178314,345.358429,22.150017,5.691929,287.782227
9.261706,186.314026,286.094635,22.150002,4.540914,307.526459
9.509601,233.970352,201.343094,22.150002,0.596396,355.709656
9.769701,347.679779,110.830536,22.150002,359.455322,2.442966
10.011975,476.293091,79.623314,22.150002,354.652557,346.501923
10.260753,480.544464,78.971947,22.150002,354.302582,344.279266
10.510242,554.751099,60.104755,22.150002,355.241089,348.319244
10.760257,647.776062,39.959312,22.150002,355.241089,348.319244
11.018401,673.685242,34.60281,22.150002,355.241089,348.319244
11.264912,700.633789,29.031389,22.150002,355.241089,349.221863
11.513271,704.64679,28.662416,22.150002,355.416077,354.746735
11.763311,772.185486,7.53582,22.150002,355.416077,354.746735
12.019556,791.669556,2.785688,22.150002,355.416077,354.746735
12.265489,846.644775,1.167167,22.150002,0.80834,324.09906
12.510195,984.549133,-6.243456,22.150002,1.978877,291.521057
12.760041,1005.5625,-20.156647,22.150002,1.433197,296.736115
13.016195,1011.666199,-92.356331,22.150002,359.480377,16.577782
13.263211,980.660156,-231.142715,22.150002,358.204315,51.84705
13.510299,911.254761,-354.899261,30.676414,359.576691,33.506222
13.765662,944.782532,-503.84552,22.150002,358.804993,341.89682
14.017265,1048.276855,-604.811401,22.150002,359.49646,348.360321
14.263148,1185.491455,-656.308838,22.150002,0.196406,22.086723
14.518729,1333.275635,-678.11084,22.150002,359.754517,67.830292
14.761662,1467.117188,-621.57428,22.150002,359.404541,75.311813
15.011619,1591.345215,-539.703674,22.150002,359.404541,76.755478
15.26343,1643.6521,-398.742523,22.150002,359.404541,76.755478
15.516049,1679.340454,-251.433899,22.150002,359.404541,76.755478
15.766643,1718.704102,-106.439247,22.150002,0.279475,64.108902
16.014927,1753.113525,35.814133,22.150002,0.454457,54.716915
16.26753,1735.773193,186.35434,22.150002,0.454457,46.361988
16.518429,1743.397949,336.200073,22.150002,1.154387,30.980373
16.767807,1751.449219,483.426208,22.150002,1.719711,8.818537
17.016024,1785.583252,614.637268,22.150002,2.820109,317.325684
17.263401,1929.871582,621.282593,22.150002,1.424688,290.337708
17.516727,2080.203369,626.252197,22.150002,1.209012,275.295258
17.76005,2221.712891,639.820679,22.150002,1.209012,274.486145
18.010275,2231.158447,640.599915,22.150002,1.209012,274.486145
18.263025,2304.491211,646.35498,22.150002,1.209012,274.486145
18.516006,2423.2229,655.371948,22.150002,1.209012,275.055573
18.760376,2436.103516,583.036377,22.150002,1.209012,275.055573
19.015663,2441.172119,431.909393,22.150002,1.209012,297.189697
19.267223,2417.241943,283.377533,22.150002,359.923187,319.595886
19.514805,2434.003174,136.216049,22.150002,356.432617,337.360199
19.760069,2548.744141,52.583267,22.150002,355.12326,349.03952
20.009958,2586.201416,42.768501,22.150002,355.12326,350.210541
20.260138,2701.894775,22.808105,22.150002,355.12326,350.210541
20.514467,2744.580322,15.443,22.150002,355.12326,350.210541
20.767689,2744.580322,15.443,22.150002,355.12326,354.427155
21.018511,2747.002441,15.225144,22.150002,355.12326,354.860382
21.265038,2778.122314,6.017171,22.150017,355.12326,354.860382
21.514328,2792.378418,2.726882,22.150002,355.913025,352.841034
21.767008,2843.6875,-1.303545,22.150002,358.962402,327.696442
22.015572,2975.95166,5.121448,22.150002,3.292643,299.595856
22.26652,2987.610352,2.759749,22.150002,3.885926,315.628265
22.517094,3045.140869,-57.930798,22.150002,13.188622,352.337463
22.768759,3074.855957,-200.713623,22.150002,4.697654,15.290602
23.009047,3139.209717,-325.485046,22.150002,4.106875,64.833305
23.263008,3278.883789,-381.688934,22.150002,2.388113,81.342224
23.513062,3424.107422,-417.807068,22.150002,359.639832,38.46183
23.767538,3572.256348,-388.172272,22.150002,359.639832,11.202895
24.010036,3699.219482,-324.543823,22.150002,359.289856,7.713234
24.263603,3796.983643,-208.134827,22.150002,359.289856,7.713234
24.518652,3932.858887,-141.380997,22.150002,359.289856,7.713234
24.764191,4058.650879,-71.641769,22.150002,359.114868,6.823394
25.010487,4204.901367,-50.752583,22.150002,358.589905,6.072089
25.265934,4357.411133,-35.576771,22.150002,358.064941,4.679845
