room,time
11W0,3.428391
00R0,9.254406
10W0,15.058019
11B0,21.815861
00W0,28.122675
00B0,33.373569
10R0,38.932316
01R1,45.887386
01W1,55.112335
00W1,63.895351
00B1,72.931511
11W1,80.360863
