room,wall_A_offset,wall_B_offset
10W0,0.0,0.0
00W0,0.0,0.0
10R0,0.0,0.0
01B0,0.0,0.0
11R0,0.0,0.0
01W0,0.0,0.0
10R1,3.11681,3.76191
10W1,3.984207,3.479507
01W1,2.623875,3.193121
11B1,2.570315,3.688528
11R1,3.180212,3.237525
11W0,0.0,0.0
