room,wall_A_offset,wall_B_offset
10W0,0.0,0.0
00R1,3.947447,3.010285
11W1,3.058764,3.157094
11B1,3.867382,2.972518
01B0,0.0,0.0
11B0,0.0,0.0
01R1,3.92053,2.719825
10R0,0.0,0.0
00B1,2.624149,3.382046
01W1,2.792199,2.980392
01R0,0.0,0.0
00B0,0.0,0.0
