time,x,y,z,pitch,yaw
0.265154,-1495.0,0.0,22.149887,0.0,0.0
0.520272,-1495.0,0.0,22.149887,0.0,0.0
0.769893,-1495.0,0.0,22.149887,0.0,0.0
1.017634,-1495.0,0.0,22.149887,359.078003,0.174983
1.270089,-1446.319092,0.225049,22.149887,354.149414,0.349965
1.509841,-1324.938477,0.947743,22.149887,354.149414,0.349965
1.768175,-1323.161987,0.9585,22.149887,354.149414,0.349965
2.020297,-1323.161987,0.9585,22.149887,354.149414,0.349965
2.259498,-1295.812622,1.125557,22.149887,354.149414,0.349965
2.518639,-1216.004395,15.20029,22.149895,354.324402,0.69993
2.770211,-1201.566895,7.863404,22.149895,358.495087,347.572174
3.018315,-1149.147217,-0.46198,22.150002,357.663269,283.9263
3.258901,-1138.592529,1.355908,22.150002,357.488281,283.3685
3.514204,-1100.236084,5.205208,22.150017,2.554314,283.3685
3.758901,-1091.714844,-13.695408,22.150002,11.452387,281.813812
4.013732,-1084.467407,-21.018278,22.150002,11.452387,297.664978
4.263615,-1072.759399,-34.831158,22.150002,9.448333,72.82267
4.508432,-1065.023438,-36.663914,22.150002,9.798297,76.670975
4.765113,-1011.664307,-49.305958,22.150002,9.798297,76.670975
5.020486,-968.742371,-59.56995,22.150002,7.327079,48.564865
5.260208,-844.929382,-21.22134,22.150002,2.971816,7.971925
5.512894,-695.384827,3.461643,22.150002,2.971816,6.429488
5.764727,-548.380371,32.493507,22.150002,8.440616,343.036133
6.010028,-409.180389,68.020142,22.150002,8.440616,343.036133
6.262389,-262.389252,31.357935,22.150002,7.954812,346.805695
6.520308,-126.613358,-37.903187,22.150002,4.485209,4.446222
6.766352,20.778454,-36.984013,22.150002,3.960261,4.096257
7.011134,167.515076,-31.705259,22.150002,358.37027,359.110046
7.269721,320.350739,-19.245346,22.150002,357.909424,359.110046
7.515492,461.042786,16.306889,22.150002,357.909424,359.110046
7.770461,592.991211,15.739996,22.150002,356.156525,357.970276
8.008751,594.091675,15.714212,22.150002,356.156525,357.795288
8.258883,628.053833,14.406711,22.150002,356.156525,357.795288
8.514642,683.013672,12.290805,22.150002,356.156525,357.795288
8.769044,683.013672,12.290805,22.150002,356.156525,357.795288
9.012799,683.013672,12.290805,22.150002,356.156525,357.795288
9.259691,736.720337,10.223119,22.150002,356.156525,357.795288
9.513066,783.057617,4.42114,22.150002,356.156525,357.795288
9.767935,808.790771,2.471161,22.150017,357.344269,345.724487
10.009512,907.976501,4.106252,22.150002,358.704865,313.38739
10.261422,968.518433,1.255829,22.150002,359.247406,295.856049
10.510106,966.120605,-0.665943,22.150002,359.772369,319.880188
10.764451,948.154175,-63.235603,22.150002,0.820863,42.809193
11.011134,974.147461,-74.639549,22.150002,1.405849,74.251694
11.262,1034.702148,-93.312653,22.150002,1.405849,74.332535
11.510159,1055.927002,-67.04319,22.150002,0.642125,33.00293
11.761874,1176.406006,-2.621973,22.150002,359.9422,15.533142
12.014948,1324.038574,30.91523,22.150002,0.117188,354.441986
12.264226,1470.808594,50.089607,22.150002,359.417236,337.423279
12.513418,1615.744141,51.403126,22.150002,359.417236,337.423279
12.761711,1755.922607,1.11603,22.150002,359.242249,352.998474
13.019391,1909.371582,-13.909984,22.150002,359.067261,0.011444
13.26415,2056.220947,-14.297323,22.150002,0.341366,3.780954
13.508683,2202.582031,-4.482924,22.150002,0.614462,5.373092
13.764656,2355.862793,2.547995,22.150002,359.180695,356.190918
14.015894,2506.365967,-5.8353,22.150002,359.180695,356.190918
14.264297,2654.333008,-1.393975,22.150002,359.180695,2.468146
14.515294,2721.955078,5.69555,22.150002,358.2789,359.894592
14.759379,2721.955078,5.69555,22.150002,358.2789,359.894592
15.018766,2721.975342,17.418756,22.150002,358.2789,359.894592
15.267467,2721.975342,17.418756,22.150002,357.753937,358.300995
