room,time
11B1,2.810765
00W0,10.902479
10B1,16.537066
11W0,24.302879
00B0,30.471886
10W0,36.213886
10R0,42.04731
01R0,47.529236
00R0,52.987041
11W1,58.769772
00R1,67.613472
01B0,76.813728
