room,wall_A_offset,wall_B_offset
00R1,3.912381,3.963653
00R0,0.0,0.0
00W0,0.0,0.0
11W0,0.0,0.0
01R0,0.0,0.0
10R0,0.0,0.0
01B1,3.153615,3.479186
01R1,3.49617,3.335261
01W1,2.700278,2.553285
00B1,2.571734,3.40022
10B0,0.0,0.0
10W0,0.0,0.0
