room,wall_A_offset,wall_B_offset
10R1,3.725242,3.735221
10B1,3.622608,2.739372
01B1,3.023286,3.715262
00R0,0.0,0.0
10W1,2.581759,3.267601
01R0,0.0,0.0
10B0,0.0,0.0
11W0,0.0,0.0
01W1,3.670995,2.615085
11W1,2.524445,3.245857
01B0,0.0,0.0
11R1,2.510391,3.759117
