time,x,y,z,pitch,yaw
0.265482,-1495.0,0.0,22.149887,0.0,0.0
0.512958,-1495.0,0.0,22.149887,0.0,0.0
0.758523,-1495.0,0.0,22.149887,0.0,0.0
1.014939,-1471.212036,-0.06782,22.149887,356.322876,359.322784
1.263302,-1342.377197,-1.420349,22.149887,355.221802,359.322784
1.515243,-1276.19104,-2.193277,22.149887,355.221802,359.322784
1.762098,-1276.19104,-2.193277,22.149887,355.221802,359.322784
2.013305,-1260.231934,-2.38193,22.149887,355.221802,359.322784
2.259514,-1227.782104,-0.654099,22.149895,355.221802,359.322784
2.519831,-1206.039673,9.64608,22.14991,357.602448,349.124878
2.760466,-1172.336914,1.644226,22.149895,0.819394,323.461853
3.011149,-1045.278931,-5.817968,22.150002,4.405329,294.00882
3.266837,-1015.296387,-20.425488,22.150002,6.569366,292.308685
3.520108,-958.864136,-124.510628,22.150002,24.535137,327.260559
3.762691,-957.083008,-264.707764,22.150002,15.005661,335.809143
4.021446,-940.399353,-404.51355,22.149994,359.532959,57.9613
4.271179,-815.40741,-481.785492,22.149994,0.36028,76.538216
4.510646,-675.487427,-505.705811,22.149994,0.010315,65.585777
4.763334,-567.257751,-403.24295,22.149994,1.527559,51.765636
5.017882,-469.826233,-286.104034,22.149994,6.220093,53.790344
5.269845,-344.720428,-205.298737,22.149994,9.525497,55.302956
5.512898,-262.247345,-85.881584,22.149994,8.512881,46.533436
5.767596,-222.728897,60.992569,22.149994,8.002684,5.794821
6.010142,-186.120895,201.28389,22.149994,6.732359,334.153961
6.271505,-111.619652,338.364655,22.149994,5.444556,314.20874
6.513646,-3.091105,433.884674,22.149994,6.825514,293.923737
6.759369,135.161865,481.684723,22.149994,4.858726,271.399017
7.021107,178.186783,482.959991,22.149994,6.894345,262.594055
7.267731,298.429565,467.603363,22.149994,6.719362,263.192963
7.514395,405.718201,373.514862,22.149994,5.04155,271.27774
7.760149,436.535217,229.437729,22.149994,358.03418,292.792328
8.012117,507.253906,97.21833,22.149994,354.368866,320.220795
8.267412,623.809082,12.551779,22.149994,353.724548,352.556335
8.519891,634.622009,11.133668,22.149994,354.249512,9.624367
8.762314,713.062012,14.035426,22.150017,352.141815,352.83963
9.010637,713.676758,12.946909,22.150017,351.966827,352.561157
9.260389,713.676758,12.946909,22.150017,353.071503,352.08432
9.510141,713.676758,12.946909,22.150017,353.071503,352.08432
9.7651,766.171875,-2.97104,22.150002,352.268921,351.384369
10.02097,805.431702,1.445786,22.150017,354.49054,343.499634
10.261896,905.862122,-0.52869,22.150002,12.18055,302.202972
10.51316,996.225769,-20.172041,22.150002,17.421032,292.512207
10.76682,1031.343018,-70.113266,22.150002,9.839719,337.88208
11.012904,1111.289551,-187.357498,22.150002,7.465821,22.556963
11.26793,1148.147095,-334.407257,22.150002,6.65088,57.842659
11.517621,1201.325806,-470.183563,22.150002,6.475898,47.629761
11.763353,1305.816284,-572.739136,22.150002,6.125933,23.382353
12.012139,1445.548218,-581.088806,22.150002,5.69058,50.535065
12.262262,1561.543945,-487.237823,22.150002,5.515597,74.189041
12.513819,1644.583374,-366.27182,22.150002,5.515597,74.189041
12.763445,1688.032104,-222.952881,22.150002,5.515597,74.189041
13.012476,1714.922852,-77.361412,22.150002,6.811975,46.952866
13.259891,1729.227295,69.72049,22.150002,5.871231,26.722433
13.514635,1781.065552,213.19043,22.150002,6.214293,10.130848
13.759389,1842.640137,345.437592,22.150002,9.228244,336.974457
14.009965,1872.572754,403.840668,22.150002,6.66236,304.131897
14.260564,1976.148804,468.524963,22.150002,6.312395,296.801422
14.515428,2118.439453,521.692078,22.150002,8.773904,263.692963
14.761127,2159.126221,520.751404,22.150002,8.475094,258.061829
15.016541,2282.116211,500.564209,22.150002,5.98888,273.981354
15.264463,2410.932373,442.493134,22.150002,5.02282,291.867157
15.516335,2470.446533,305.126221,22.150002,3.319432,302.971039
15.759497,2470.63623,159.51918,22.150002,359.483093,333.472382
16.012911,2559.26709,46.617588,22.150002,356.755585,340.241547
16.262215,2701.420166,2.866355,22.150002,353.711517,0.916133
16.51475,2747.016357,-0.115256,22.150002,352.618408,1.970574
16.765339,2747.016357,-0.115256,22.150002,352.618408,2.145557
17.01939,2747.016357,-0.115256,22.150002,352.618408,2.145557
17.261509,2747.016357,-0.115256,22.150002,352.618408,2.145557
17.515356,2771.680664,0.695595,22.150002,354.327698,357.619812
17.761189,2846.729736,1.569015,22.150017,3.721158,315.687225
18.013657,2952.001709,-7.101278,22.150017,4.369938,293.891266
18.258539,2974.683105,-50.543049,22.150017,2.896199,316.464325
18.514458,2973.842529,-146.50351,22.150017,0.730206,37.498848
18.769613,2959.363281,-178.554291,22.150017,0.555224,67.54557
19.010229,3000.959961,-289.428558,22.150017,2.540603,23.745983
19.262817,3086.984619,-411.864044,22.150017,2.669273,355.823547
19.509172,3229.503174,-447.993225,22.150017,1.969343,350.609497
19.763201,3358.661865,-521.488403,22.150017,2.42803,2.894906
20.015005,3478.731934,-612.462158,22.150017,2.00469,25.380098
20.267475,3619.811279,-624.88678,22.150017,1.560328,61.985847
20.5152,3698.888916,-501.187958,22.150017,1.165222,74.300102
20.767603,3756.936035,-363.296997,22.150017,1.340204,79.732727
21.009151,3712.611084,-226.795654,22.150017,1.540404,63.487743
21.262403,3713.656738,-82.431129,22.150017,3.254147,53.649067
21.518702,3760.299072,59.98074,22.150017,2.872114,56.703304
