room,wall_A_offset,wall_B_offset
00B1,3.264306,3.612949
01W0,0.0,0.0
11R1,2.669195,3.690405
11W1,3.245537,3.113285
10W1,3.093646,2.886181
10B0,0.0,0.0
10B1,3.164464,3.254647
00R1,2.850566,3.398984
11B1,3.607181,2.901059
01R1,3.025941,2.780023
01R0,0.0,0.0
00W1,3.032166,3.144276
