time,x,y,z,pitch,yaw
0.264261,-1495.0,0.0,22.149887,0.0,0.0
0.514181,-1495.0,0.0,22.149887,0.0,0.0
0.766756,-1495.0,0.0,22.149887,0.0,0.0
1.021451,-1495.0,0.0,22.149887,0.0,0.174983
1.261686,-1495.0,0.0,22.149887,356.667511,2.411276
1.519158,-1495.0,0.0,22.149887,352.697845,2.419104
1.761361,-1466.123291,0.526621,22.149887,355.638916,1.01372
2.016943,-1345.55127,2.664953,22.149887,355.813904,1.01372
2.26617,-1343.757568,2.696714,22.149887,355.813904,1.01372
2.510415,-1343.757568,2.696714,22.149887,355.813904,1.01372
2.769598,-1310.625122,3.259742,22.149887,355.988892,0.367649
3.02316,-1226.618774,5.297558,22.149895,356.163879,0.017684
3.263943,-1219.625366,5.299716,22.149895,356.163879,0.017684
3.511534,-1170.170654,1.442838,22.149895,4.634326,0.215023
3.768921,-1041.379395,-2.685369,22.149895,15.705081,359.218628
4.022002,-959.911682,-3.84975,22.149895,4.940885,0.24155
4.260484,-919.739746,-5.237467,22.149895,0.183135,341.119507
4.513331,-886.848206,-12.67791,22.149895,0.183135,305.268463
4.772391,-882.520996,-15.821114,22.149895,0.506474,333.563843
5.011782,-792.927979,-34.384369,22.149895,0.506474,359.49884
5.265874,-648.740967,-73.52829,22.149895,0.506474,22.78533
5.519117,-514.839233,-144.066971,22.149895,359.878235,58.688244
5.766236,-375.150696,-167.99617,22.149895,359.523865,18.823776
6.022076,-224.106628,-145.873596,22.149895,358.840424,355.040314
6.272226,-77.667671,-132.629654,22.149895,358.181793,3.580925
6.510084,43.328522,-60.972694,22.149895,358.181793,6.233134
6.763444,193.778427,-40.348972,22.149895,358.531769,1.730233
7.013899,343.941559,-34.843132,22.149895,358.531769,2.767215
7.265748,488.276917,4.091272,22.149895,356.832245,357.800964
7.512104,636.03186,3.176194,22.149895,356.657257,357.625977
7.758894,685.275024,1.334195,22.149895,356.657257,357.625977
8.011046,685.275024,1.334195,22.149895,356.657257,357.625977
8.269924,754.998901,0.255369,22.149895,356.832245,2.935174
8.510585,765.292053,0.475747,22.149895,1.204579,1.706364
8.770812,781.976868,1.037343,22.150002,7.09295,0.224872
9.01622,810.692993,1.444262,22.150002,12.926479,359.549316
9.26616,930.247131,-0.747887,22.150002,22.759485,357.122559
9.511718,972.789368,-2.406306,22.150002,40.802185,355.834076
9.761723,972.789368,-2.406306,22.150002,36.656384,358.248535
10.01642,979.113159,-2.236483,22.150002,20.79154,2.394161
10.265223,1000.439148,-1.164739,22.150002,12.697948,2.919108
10.514802,1127.543945,4.113079,22.150002,3.641317,0.538074
10.763591,1252.273193,6.024651,22.150002,1.116909,0.363092
11.010741,1297.772095,7.178859,22.150002,2.023311,20.043968
11.262836,1437.209717,-18.510675,22.150002,3.227686,41.882645
11.514523,1581.094238,18.875149,22.150002,2.696995,13.609026
11.765555,1728.406372,48.461117,22.150002,2.172047,0.915264
12.016452,1851.196411,131.982651,22.150002,2.172047,328.970398
12.268771,1861.655151,145.354858,22.150002,1.545581,304.552582
12.50983,1861.655151,145.354858,22.150002,1.720564,333.453003
12.763338,1929.204956,132.903351,22.150002,1.545581,355.054962
13.017196,2079.604492,117.726601,22.150002,1.39391,350.613098
13.259597,2215.179199,74.15686,22.150002,359.896637,355.910217
13.510873,2358.074707,35.870193,22.150002,359.157806,359.150452
13.767438,2511.944336,31.473505,22.150002,358.982819,358.975464
14.011684,2654.938721,12.002389,22.150002,358.982819,358.975464
14.260181,2700.303711,-4.099161,22.150002,358.674957,1.861545
14.512202,2700.303711,-4.099161,22.150002,358.674957,1.861545
14.76629,2700.303711,-4.099161,22.150002,358.674957,1.861545
15.008353,2729.577881,-3.313533,22.150002,1.240015,1.161615
15.266876,2780.256836,1.035729,22.150002,6.512803,359.223419
15.512602,2814.2146,-0.243706,22.150002,18.572641,347.829956
15.77074,2945.672607,-4.142313,22.150002,22.969751,330.331543
