room,wall_A_offset,wall_B_offset
11B0,0.0,0.0
00R0,0.0,0.0
10R0,0.0,0.0
11R1,3.03766,2.670751
00B1,3.277444,2.833033
01B1,3.475433,2.546922
01W1,2.923765,3.523041
10W1,2.751549,3.028047
11W1,3.304407,3.676214
10B0,0.0,0.0
01R0,0.0,0.0
11R0,0.0,0.0
