time,x,y,z,pitch,yaw
0.287069,-1495.0,0.0,22.149887,0.0,0.0
0.516981,-1495.0,0.0,22.149887,0.0,0.0
0.767765,-1495.0,0.0,22.149887,0.0,0.0
1.01938,-1495.0,0.0,22.149887,352.19339,6.184165
1.260835,-1456.561035,4.918946,22.149887,349.36319,5.993709
1.514392,-1375.821533,12.227847,22.149887,354.905731,357.226501
1.767281,-1359.5177,11.005658,22.149887,355.916779,355.689728
2.009309,-1292.632324,5.967264,22.149887,356.091766,355.689728
2.262105,-1292.632324,5.967264,22.149887,355.741791,1.345194
2.518186,-1255.43396,8.908969,22.149887,355.267609,4.900443
2.763148,-1219.849854,18.325441,22.149895,357.592438,0.4349
3.012141,-1209.139893,11.116521,22.149895,0.581649,340.929657
3.263811,-1180.866333,3.690433,22.149895,1.75082,316.820465
3.509711,-1072.706909,-9.644485,22.150017,1.10891,286.341187
3.760926,-1029.401611,-58.644024,22.150017,358.987854,285.061951
4.009854,-981.462891,-151.105728,22.150017,0.033546,354.052277
4.271868,-918.420349,-293.439301,22.150017,359.700195,51.078484
4.520257,-869.988159,-434.144287,22.150017,359.700195,61.346252
4.771853,-817.401428,-573.958923,22.150017,358.527435,65.982117
5.023453,-680.515747,-612.581238,22.150017,0.161713,74.154198
5.260297,-585.081482,-511.061523,22.150017,359.636749,59.335217
5.514377,-479.008575,-406.025238,22.150017,359.636749,74.804176
5.76731,-363.692291,-311.860229,22.150017,359.461761,79.185547
6.012207,-314.575958,-173.467224,22.150017,359.286774,63.518272
6.26948,-285.258911,-24.675587,22.150017,359.286774,45.537151
6.509846,-263.740662,116.7547,22.150017,3.483343,13.347136
6.765482,-213.796432,261.316742,22.150017,5.201337,330.690582
7.009277,-131.154831,380.30899,22.150017,0.981378,303.456696
7.266025,1.775131,456.085602,22.150017,357.030426,286.746063
7.511183,142.892792,497.212097,22.150017,355.608643,280.678955
7.773067,298.669556,508.5224,22.150017,355.433655,260.152466
8.01879,389.087463,407.72583,22.150017,355.608643,282.206024
8.269132,423.284912,264.501892,22.150002,354.374115,330.434845
8.509813,477.321655,130.848526,22.150002,354.724091,345.330688
8.761196,601.091248,55.197136,22.150002,356.40274,345.777496
9.010129,612.523071,51.564655,22.150002,356.40274,345.777496
9.262421,680.09375,34.438446,22.150002,356.40274,345.777496
9.519381,684.826294,33.238949,22.150002,356.40274,345.777496
9.767935,688.851196,32.515205,22.150002,351.300629,350.055603
10.017731,767.041992,10.897429,22.150002,355.146088,356.898834
10.271003,777.909058,6.021453,22.150002,355.496063,358.681366
10.513218,791.352295,2.842258,22.150017,356.449646,352.15506
10.760014,840.7323,1.46215,22.150017,1.35382,316.312164
11.018397,984.539795,-12.560349,22.150002,2.423071,275.148895
11.262019,1012.749817,-25.923027,22.150002,22.920382,295.067047
11.515084,1082.272583,-116.555733,22.150002,22.447008,327.082428
11.770599,1195.629639,-218.316681,22.150002,359.91806,2.267029
12.016951,1311.207886,-309.413269,22.150002,359.828308,22.256435
12.261222,1444.881226,-368.684509,22.150002,3.166116,97.914635
12.519139,1598.245117,-359.2276,22.150002,3.53935,82.44133
12.763866,1720.93457,-280.351593,22.150002,1.8971,22.340096
13.016189,1838.328247,-188.725739,22.150002,0.733605,10.736984
13.268152,1932.831177,-70.837852,22.150002,359.067688,1.248544
13.520692,2066.899902,-13.073134,22.150002,0.560398,356.497925
13.762493,2200.418701,38.782654,22.150002,357.744141,355.546631
14.013873,2351.177734,37.045185,22.150002,356.138153,0.920288
14.270418,2502.665039,23.640961,22.150002,357.385895,358.554962
14.511522,2638.19458,-18.866604,22.150002,357.385895,0.713085
14.767467,2720.187012,-9.514246,22.150002,357.385895,5.771152
15.016213,2719.47583,-2.038455,22.150002,357.385895,4.875523
15.26765,2710.339355,18.955856,22.150002,357.210907,0.578812
15.510627,2720.062744,10.393869,22.150002,357.560883,358.673431
15.76902,2781.99585,1.017553,22.150002,358.33255,358.673431
16.014456,2810.830078,1.39251,22.150002,6.999031,358.498444
16.268383,2918.091309,-2.561082,22.150002,27.299984,335.088501
16.517748,2997.723877,60.169968,22.150002,10.984374,290.828949
16.769718,3001.464111,62.924572,22.150002,6.991791,289.485382
17.009415,3043.158936,21.931618,22.150002,3.373448,351.343536
17.269863,3178.158447,-42.320168,22.150002,2.261792,359.940125
17.511774,3300.924561,-116.955887,22.150002,1.933622,75.923576
17.762701,3448.942139,-135.55014,22.150002,0.463109,95.935791
18.009352,3583.084473,-124.382523,22.150002,1.638246,57.691811
18.270704,3702.900879,-48.165657,22.150002,3.90855,11.775167
18.514105,3845.173584,-17.643101,22.150002,2.257749,2.7462
