room,time
00B1,2.926662
11R0,12.234641
00R1,18.831224
10W1,28.053926
10B1,37.302166
10B0,46.251427
00W1,51.800652
11W1,60.32254
01W0,67.630615
01W1,73.281616
00R0,82.792404
11W0,89.450058
