time,x,y,z,pitch,yaw
0.261703,-1495.0,0.0,22.149887,0.0,0.0
0.510536,-1495.0,0.0,22.149887,0.0,0.0
0.768764,-1495.0,0.0,22.149887,0.0,0.0
1.01816,-1444.740967,2.662093,22.149887,356.318878,3.623717
1.267577,-1300.530396,11.265411,22.149887,354.873901,3.273752
1.511711,-1282.415039,12.312927,22.149887,354.873901,3.273752
1.766682,-1282.415039,12.312927,22.149887,354.873901,3.273752
2.008489,-1230.766602,15.26494,22.149887,354.660797,2.825018
2.258846,-1216.192383,15.443434,22.149895,354.660797,2.825018
2.51199,-1201.926758,8.005469,22.14991,359.361084,337.785095
2.768605,-1148.008545,0.978554,22.149895,0.728891,327.764252
3.015457,-1009.516541,-2.545642,22.150002,13.471748,308.960724
3.261781,-991.399841,-7.765005,22.150002,25.209986,297.941956
3.513719,-944.626892,-80.501419,22.150002,26.483978,326.634064
3.762679,-903.990295,-219.790527,22.150002,23.177553,9.770052
4.020268,-870.200867,-369.910583,22.150002,29.102816,44.366966
4.259281,-836.076599,-505.836029,22.150002,29.983534,44.666931
4.516628,-700.512268,-561.950684,22.150002,21.491798,44.043827
4.761236,-575.683289,-487.277863,22.150002,9.47975,53.858814
5.013591,-437.165344,-430.703827,22.150002,6.178162,71.025078
5.265598,-372.070923,-295.4039,22.150002,10.82367,73.002625
5.513532,-307.012573,-166.347824,22.150017,10.82367,73.002625
5.770514,-257.22583,-20.468693,22.150017,29.880154,71.87236
6.014087,-282.924164,120.240303,22.150017,27.571356,68.217415
6.269147,-334.873535,263.525452,22.150017,29.750839,31.959368
6.516757,-334.98587,410.84198,22.150002,30.902456,356.707794
6.765526,-306.729828,556.093506,22.150002,30.585573,320.518127
7.0142,-289.827942,578.722046,22.150002,28.973171,300.528015
7.266522,-186.817062,587.036865,22.150002,25.121559,287.376129
7.511006,-41.515419,597.701294,22.150002,10.260639,279.1922
7.764551,19.601137,608.005249,22.150002,0.379969,282.968994
8.016807,123.287621,631.906921,22.150002,356.818695,281.548737
8.267795,202.226852,574.035095,22.150002,21.288975,273.942596
8.515392,221.873611,511.708954,22.150002,13.511983,276.64151
8.759908,300.625824,472.821259,22.150002,354.192139,295.467529
9.01416,379.522003,342.575287,22.150002,354.453949,304.462341
9.267971,478.791016,228.416199,22.150017,354.882355,333.672821
9.5132,538.472351,94.020386,22.150017,353.033966,341.963257
9.766391,649.410583,3.626719,22.150017,349.176788,359.200775
10.00911,729.497009,-3.351496,22.150017,349.351776,2.601158
10.263268,729.497009,-3.351496,22.150017,349.351776,2.601158
10.513463,729.497009,-3.351496,22.150017,350.95285,2.426176
10.765979,729.497009,-3.351496,22.150017,352.384918,0.548622
11.019579,734.004761,-3.34202,22.150017,353.929138,358.974976
11.264368,782.565796,0.978452,22.150002,356.461884,353.841797
11.519259,816.015259,1.458592,22.150002,2.549846,320.918396
11.758896,934.693542,-10.366133,22.150017,5.805058,295.930115
12.018102,1029.732422,-130.076843,22.150017,10.989936,295.602753
12.260265,1050.300781,-272.524658,22.150017,5.972166,348.860168
12.516745,1052.878296,-426.038147,22.150017,5.488647,16.368694
12.763716,1112.692871,-559.292603,22.150017,3.680721,55.901478
13.016518,1239.686523,-638.59491,22.150017,2.790031,64.89222
13.259049,1380.648682,-608.843933,22.150017,1.966866,70.945122
13.511906,1515.464233,-539.602356,22.150017,2.491814,76.222946
13.760448,1625.002197,-443.73877,22.150017,2.491814,76.222946
14.017965,1670.7677,-296.358093,22.150017,2.491814,76.222946
14.267861,1708.526123,-151.442429,22.150017,5.809036,57.579193
14.514582,1717.126221,-4.022197,22.150017,5.459071,25.297398
14.766735,1772.021606,136.346222,22.150017,4.833834,8.597512
15.015022,1857.072021,257.967468,22.150017,3.78225,338.754456
15.268109,1936.255249,386.705536,22.150017,4.595729,308.860199
15.513381,2052.906006,475.365936,22.150017,4.912858,294.056396
15.767207,2194.340088,530.653015,22.150017,2.88592,280.924194
16.011761,2335.352783,519.711609,22.150017,2.51842,279.96228
16.260921,2404.132568,392.169922,22.150017,2.51842,282.527832
16.515181,2459.169922,250.799454,22.150017,357.760712,325.457489
16.768291,2505.897217,106.336418,22.150017,354.950806,337.850281
17.010302,2623.575195,30.152863,22.150017,352.428711,353.529419
17.264082,2705.991211,17.208555,22.150017,352.603699,357.162231
17.519758,2705.991211,17.208555,22.150017,352.603699,357.162231
17.758457,2708.846924,17.066999,22.150017,352.603699,357.162231
18.013838,2773.152832,5.87571,22.150017,352.603699,357.162231
18.261284,2783.084473,4.418412,22.150017,352.603699,357.162231
18.51178,2808.724365,2.43783,22.150017,354.590057,355.592682
18.7658,2926.918945,-2.976221,22.150002,6.968051,344.743195
19.017036,2966.846436,-6.566258,22.150002,24.693249,326.131378
19.263632,2967.756836,-7.073939,22.150002,22.593531,333.724792
19.515699,3045.276367,-21.379192,22.150002,9.543398,7.403646
19.768425,3151.20459,-120.239822,22.150002,9.718381,46.878193
20.008453,3273.290771,-184.217743,22.150002,9.425767,93.657173
20.269743,3429.706299,-189.317001,22.150002,7.185163,51.049892
20.517479,3567.390869,-143.55127,22.150002,2.897845,32.008545
20.759684,3694.033936,-72.475868,22.150002,359.946991,16.208933
21.015688,3842.837158,-37.102219,22.150002,355.83371,1.982411
21.25835,3988.259521,-30.679703,22.150002,355.658722,0.862031
21.516649,4143.198242,-27.367622,22.150002,359.208374,3.803627
21.770117,4292.053711,-4.731682,22.150002,357.546539,1.101903
22.01062,4435.005371,10.668477,22.150002,353.347382,358.262604
22.266401,4588.441406,7.668112,22.150002,353.172394,358.262604
22.51005,4686.271484,4.775567,22.150002,353.172394,358.262604
22.761457,4686.271484,4.775567,22.150002,353.172394,358.262604
23.01602,4686.271484,4.775567,22.150002,353.172394,358.262604
23.258556,4748.845215,0.094461,22.150017,353.172394,358.262604
23.518383,4777.293457,0.955809,22.150017,353.172394,358.262604
23.765316,4795.582031,1.413924,22.150002,355.920441,350.049622
