room,time
00B0,2.753177
11R0,8.730175
01B1,14.551201
10W1,22.623892
00W0,31.429344
00B1,37.121803
10B1,45.740543
11W1,53.125957
10W0,61.153572
11B1,67.499809
11B0,75.43129
10R1,81.64109
