room,wall_A_offset,wall_B_offset
00R1,2.638981,3.935591
00B1,2.726234,3.487747
10B0,0.0,0.0
11B1,3.124088,3.670492
10W1,3.403562,3.331782
00W1,2.572649,2.931913
01W1,3.767724,3.640645
11B0,0.0,0.0
01R0,0.0,0.0
10R1,3.50235,3.952849
11R1,3.583285,3.807047
10W0,0.0,0.0
