room,time
11R1,2.83352
01R1,11.672641
11W0,18.689735
11B1,24.03805
00B0,34.600964
00W1,40.228409
00R0,48.388206
01R0,53.516724
11W1,59.34446
10R0,68.013313
01W0,73.775208
00R1,79.3983
