time,x,y,z,pitch,yaw
0.264032,-1495.0,0.0,22.149887,0.0,0.0
0.50928,-1495.0,0.0,22.149887,0.0,0.0
0.762713,-1495.0,0.0,22.149887,0.0,0.174983
1.016989,-1425.904541,0.211016,22.149887,0.0,0.174983
1.262537,-1309.481689,0.566572,22.149887,0.0,0.174983
1.511679,-1309.261963,0.567243,22.149887,0.0,0.174983
1.763891,-1306.491333,0.575704,22.149887,0.0,0.174983
2.011921,-1229.769897,1.291163,22.149895,359.220795,0.174983
2.266631,-1214.340698,14.082113,22.14991,357.573273,356.344818
2.516019,-1198.238647,6.864686,22.149895,359.579346,330.055634
2.760987,-1126.988525,-0.498654,22.150002,0.063934,294.632721
3.013685,-1063.591309,-8.30073,22.150002,0.525259,288.741211
3.264374,-1043.783691,-72.599037,22.150002,7.827603,286.574005
3.520857,-1025.259033,-221.008789,22.150002,5.869804,332.89682
3.769824,-1036.031616,-367.903381,22.150002,5.423479,64.153404
4.012142,-984.451965,-503.08963,22.150002,5.773444,68.746719
4.262644,-895.334778,-622.344727,22.150002,6.03164,4.222242
4.517298,-802.301697,-741.87677,22.150002,5.206027,358.445923
4.765189,-658.590759,-744.135193,22.150002,6.759326,39.553658
5.012187,-513.879944,-719.019836,22.150002,5.146239,52.620422
5.264799,-366.342743,-687.0224,22.150002,1.992632,69.787354
5.516935,-286.112946,-563.717102,22.150002,1.081796,76.564613
5.768524,-262.213837,-416.789398,22.150002,2.131691,73.636078
6.018096,-307.389221,-275.199585,22.150002,2.131691,70.210297
6.268501,-293.944,-127.354782,22.150002,2.601892,67.871681
6.518106,-333.484772,16.92428,22.150002,4.869927,42.453064
6.765027,-255.79686,131.07254,22.150002,5.643435,16.794985
7.009849,-159.361481,241.450775,22.150002,5.302478,356.843842
7.259462,-90.267685,373.235046,22.150002,4.860387,324.446503
7.518299,10.066978,490.005859,22.150002,5.163487,300.425903
7.7686,143.531219,557.084045,22.150002,5.801453,281.503204
8.012712,246.32132,578.717834,22.150002,5.626471,270.236816
8.267489,297.924957,578.77301,22.150002,5.626471,270.061829
8.512071,433.711884,551.601196,22.150002,5.626471,270.061829
8.769433,481.991699,408.92215,22.150002,4.80308,283.731598
9.018211,457.466614,262.235809,22.150002,358.843323,317.614105
9.261705,497.381561,130.431778,22.150002,352.157288,344.680511
9.517456,636.794861,68.16349,22.150002,351.807312,340.668365
9.764418,687.258789,17.905005,22.150002,349.682861,3.042209
10.011588,687.258789,17.905005,22.150002,349.682861,3.042209
10.262757,694.804077,18.296656,22.150002,350.46051,1.31189
10.517886,767.880554,10.525751,22.150002,353.038574,356.659241
10.763673,769.327393,10.210278,22.150002,353.038574,356.659241
11.013157,792.974182,2.687989,22.150017,358.161194,343.911163
11.26553,860.490662,0.485013,22.150002,2.668211,314.14505
11.516303,1002.080872,-28.20599,22.150002,7.04366,292.787537
11.767015,1071.145386,-159.301727,22.150002,8.31917,303.270508
12.009409,1043.932129,-300.759613,22.150002,6.040449,24.313139
12.26031,1116.130981,-427.700806,22.150002,4.556129,58.682945
12.512155,1235.303101,-519.871216,22.150002,6.226593,17.763714
