room,time
10W1,2.647069
11W0,10.624037
00R1,16.317648
10R0,24.552147
10B1,30.816063
01R1,39.845985
10W0,48.295292
01B0,54.33144
00R0,59.738129
10R1,65.336182
01W1,74.376045
01W0,83.375877
